Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1aSfk5kGRoA_1Vwuk0YP-78fX2zdCPrg6hOMJE0GDYxQ/export?format=csv&gid=119752031

---

Brand,Country of origin,Region,Parent company / owner,Segment(s),Category,Status,Notes
1&1 / United Internet CPE,Germany,Europe,United Internet,ISP CPE,ISP CPE / broadband gateway,Brand-only,German ISP branded routers
128 Technology,USA,North America,HPE / Juniper,SD-WAN,Enterprise / SD-WAN,Brand retired,Acquired by Juniper 2020; now Session Smart Routing
2Wire,USA,North America,"Pace (2013), then Arris",Legacy ISP CPE,ISP CPE / broadband gateway,Defunct,AT&T U-verse gateway supplier
3Com,USA,North America,HPE (via the 2010 HP acquisition),Legacy enterprise,Legacy / acquired,Defunct,"Its Chinese JV became H3C, which survives under Unisplendour"
3onedata,China,Asia-Pacific,Independent,Industrial,Industrial / IoT,Active,Industrial Ethernet switches and routers
6WIND,France,Europe,Independent,Virtual router,Enterprise / SD-WAN,Active,Turbo Router / VSR high-performance software routers
8devices,Lithuania,Europe,Independent,Embedded routerboards; Industrial,Industrial / IoT,Active (niche),Embedded Wi-Fi routerboards used by WISPs and integrators
ABB,Switzerland / Sweden,Europe,Independent,Utility/SCADA; Industrial,Industrial / IoT,Active,Substation communication and grid routers
AboCom Systems,Taiwan,Asia-Pacific,Independent,Consumer Wi-Fi; ODM,ODM / white-label,Active (niche),Small Taiwanese Wi-Fi hardware maker
ACC (Advanced Computer Communications),USA,North America,Ericsson (1998),Legacy access routers,Legacy / acquired,Defunct,Remote access router maker
Accelerated Concepts,USA,North America,Digi International,Cellular,Cellular / 5G / mobile,Brand absorbed,Cellular router maker acquired by Digi 2018
Accton Technology,Taiwan,Asia-Pacific,Independent,ODM; Whitebox,ODM / white-label,Active,Networking ODM; parent of Edgecore and Arcadyan
ACT Fibernet CPE,India,Asia-Pacific,Atria Convergence Technologies,ISP CPE,ISP CPE / broadband gateway,Brand-only,Major Indian FTTH ISP's branded ONT-router
Actiontec,USA,North America,Independent,ISP CPE; DSL/Fiber,ISP CPE / broadband gateway,Active,"Major US ISP-gateway ODM (Verizon, CenturyLink, Frontier)"
Addvalue Technologies,Singapore,Asia-Pacific,Independent,Satellite,Specialised (military / satellite / mobility),Active,Inmarsat and Iridium terminal-routers
Adtran Holdings,USA,North America,Independent (NASDAQ: ADTN),SP access; BNG; Optical,Service provider,Active,Merged with Germany's ADVA in 2022
ADVA Optical Networking,Germany,Europe,Adtran Holdings,Optical transport,Service provider,Brand absorbed,Now Adtran Networks SE
Advantech,Taiwan,Asia-Pacific,Independent (TWSE: 2395),Industrial; IoT; uCPE,Industrial / IoT,Active,Industrial LAN/cellular routers and edge gateways; owns B+B SmartWorx
Advantech (Network Appliances),Taiwan,Asia-Pacific,Independent,uCPE / network appliances,Data centre / disaggregated / silicon,Active,FWA appliance platforms used by SD-WAN vendors
Advantech B+B SmartWorx (Conel),Czechia / USA,Europe,Advantech,Industrial; Cellular,Industrial / IoT,Active,"ICR-series routers, formerly the Czech Conel brand"
Aerohive Networks,USA,North America,Extreme Networks,Legacy enterprise WLAN,Legacy / acquired,Brand retired,Cloud-managed Wi-Fi vendor absorbed by Extreme in 2019
Airlink101 / Airlink+,USA,North America,Independent,Consumer Wi-Fi,Consumer / retail,Active (niche),Budget US Wi-Fi brand
Airtel Xstream,India,Asia-Pacific,Bharti Airtel,ISP CPE,ISP CPE / broadband gateway,Brand-only,"Airtel-branded routers OEM'd by Nokia, Huawei, ZTE"
AirTies,Turkey,Middle East & Africa,Providence Equity Partners,Managed Wi-Fi; Mesh; ISP CPE,ISP CPE / broadband gateway,Active,Turkish-founded managed Wi-Fi vendor with global ISP deals
AIS Fibre CPE,Thailand,Asia-Pacific,AIS,ISP CPE,ISP CPE / broadband gateway,Brand-only,Thai ISP branded router
Alcatel,France,Europe,"Nokia (via Alcatel-Lucent, 2016)",Legacy SP,Legacy / acquired,Brand retired,Merged with Lucent 2006; Nokia acquired 2016
Alcatel (LinkZone / LinkHub),France (brand) / China,Europe,TCL Communication,Travel; 4G/5G CPE,Cellular / 5G / mobile,Active,TCL-owned brand's hotspot and home LTE/5G router line
Alcatel-Lucent Enterprise (ALE),France,Europe,China Huaxin,Enterprise branch; Campus,Enterprise / SD-WAN,Active,OmniSwitch/OmniAccess; spun out of Nokia 2014
Alibaba Cloud,China,Asia-Pacific,Alibaba Group,Cloud DC in-house,Data centre / disaggregated / silicon,Active,Custom datacentre networking hardware and software
Alkira,USA,North America,Independent,Cloud NaaS / virtual router,Enterprise / SD-WAN,Active,Network-as-a-service cloud backbone
Allied Telesis,Japan,Asia-Pacific,Independent,Enterprise campus/branch,Enterprise / SD-WAN,Active,Global enterprise switch and router vendor
Allot,Israel,Middle East & Africa,Independent,DPI / traffic management,Enterprise / SD-WAN,Active,Adjacent to routing; policy and DPI appliances
Alpha Networks,Taiwan,Asia-Pacific,D-Link spinoff,ODM; ISP CPE,ODM / white-label,Active,Spun off from D-Link; supplies global telcos
Amazon Web Services,USA,North America,Amazon,Cloud DC / WAN in-house,Data centre / disaggregated / silicon,Active,Custom networking hardware and Transit Gateway
Ambit Microsystems,Taiwan,Asia-Pacific,Hon Hai / Foxconn,ODM; Cable CPE,ODM / white-label,Active,Cable modem and gateway ODM inside Foxconn
Amit Wireless,Taiwan,Asia-Pacific,Independent,Cellular; Industrial,Industrial / IoT,Active,"Industrial 4G/5G cellular routers, also an ODM"
Amped Wireless,USA,North America,Independent,Consumer Wi-Fi; Range extenders,Consumer / retail,Active,US high-power Wi-Fi niche brand
AmpliFi,USA,North America,Ubiquiti,Mesh,Consumer / retail,Winding down,"Ubiquiti's consumer mesh sub-brand, largely deprioritised"
Antaira Technologies,Taiwan / USA,Asia-Pacific,Independent,Industrial,Industrial / IoT,Active,DIN-rail industrial Ethernet routers
Antex,Russia,Russia & CIS,Independent,Cellular,Cellular / 5G / mobile,Active (niche),Russian LTE router and antenna brand
AnyDATA,South Korea,Asia-Pacific,Independent,Cellular,Cellular / 5G / mobile,Active,M2M cellular routers and modules
Apple AirPort,USA,North America,Apple,Consumer Wi-Fi,Consumer / retail,Defunct,AirPort Express/Extreme/Time Capsule; Apple exited routers 2018
Arcadyan,Taiwan,Asia-Pacific,Compal Group,ODM / ISP CPE,ODM / white-label,Active,Major ODM behind many ISP-branded gateways worldwide
Archer,China,Asia-Pacific,TP-Link,Consumer Wi-Fi,Consumer / retail,Active,Sub-brand: TP-Link's flagship standalone router line
Argela,Turkey,Middle East & Africa,Türk Telekom,SP; SDN/NFV,Other,Active,Türk Telekom's networking R&D arm
Arista Networks,USA,North America,Independent (NYSE: ANET),Data centre routing; SD-WAN; Campus,Data centre / disaggregated / silicon,Active,Acquired the VeloCloud SD-WAN business from Broadcom in 2025
Arrcus,USA,North America,Independent,SP and DC disaggregated routing,Data centre / disaggregated / silicon,Active,ArcOS network operating system
