Brand / Entity	Default IP Address(es)	Category	Region / Notes
2Wire	192.168.1.1 / 192.168.1.254	Consumer / SOHO Router & Wi-Fi Brand	
3Com	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
AboCom	192.168.1.254	Consumer / SOHO Router & Wi-Fi Brand	
Accton	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Acer	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Actiontec	192.168.0.1 / 192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Airlink / Airlink101	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Airlive	192.168.2.1	Consumer / SOHO Router & Wi-Fi Brand	
Airties	192.168.2.1	Consumer / SOHO Router & Wi-Fi Brand	
ALFA Network	192.168.2.1	Consumer / SOHO Router & Wi-Fi Brand	
Amazon (eero)	192.168.4.1 / 192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
AMIT	192.168.123.254	Consumer / SOHO Router & Wi-Fi Brand	
Amped Wireless	192.168.3.1	Consumer / SOHO Router & Wi-Fi Brand	
Amplifi (Ubiquiti)	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	Ubiquiti's consumer mesh Wi-Fi brand
Apple (AirPort)	10.0.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Arcadyan	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Askey	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
ASRock	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Asus	192.168.1.1 / 192.168.50.1	Consumer / SOHO Router & Wi-Fi Brand	
AVM (FRITZ!Box)	192.168.178.1	Consumer / SOHO Router & Wi-Fi Brand	
Aztech	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Beetel	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	India (Airtel-affiliated)
Belkin	192.168.2.1	Consumer / SOHO Router & Wi-Fi Brand	
BenQ	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Billion	192.168.1.254	Consumer / SOHO Router & Wi-Fi Brand	
Buffalo	192.168.11.1	Consumer / SOHO Router & Wi-Fi Brand	
Cameo	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Card King	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
CC&C	192.168.1.254	Consumer / SOHO Router & Wi-Fi Brand	
CNet	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
COMFAST	192.168.10.1	Consumer / SOHO Router & Wi-Fi Brand	
Compex	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Comtrend	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Corega	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
CradlePoint	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
CyberTAN	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
D-Link	192.168.0.1 / 192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Dell	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Digicom	192.168.1.254	Consumer / SOHO Router & Wi-Fi Brand	
Digisol (Smartlink)	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	India-made FTTH/XPON ONU routers
Dovado	192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
DrayTek	192.168.1.1 / 192.168.2.1	Consumer / SOHO Router & Wi-Fi Brand	
E-TOP	192.168.1.1	Consumer / SOHO Router & Wi-Fi Brand	
Edimax	192.168.2.1	Consumer / SOHO Router & Wi-Fi Brand	
Eero	192.168.4.1	Consumer / SOHO Router & Wi-Fi Brand	
Eminent	192.168.1.1 / 192.168.0.1	Consumer / SOHO Router & Wi-Fi Brand	
