Region	Parent company / owner	Segment(s)	Category	Status	Notes
Europe	United Internet	ISP CPE	ISP CPE / broadband gateway	Brand-only	German ISP branded routers
North America	HPE / Juniper	SD-WAN	Enterprise / SD-WAN	Brand retired	Acquired by Juniper 2020; now Session Smart Routing
North America	Pace (2013), then Arris	Legacy ISP CPE	ISP CPE / broadband gateway	Defunct	AT&T U-verse gateway supplier
North America	HPE (via the 2010 HP acquisition)	Legacy enterprise	Legacy / acquired	Defunct	Its Chinese JV became H3C, which survives under Unisplendour
Asia-Pacific	Independent	Industrial	Industrial / IoT	Active	Industrial Ethernet switches and routers
Europe	Independent	Virtual router	Enterprise / SD-WAN	Active	Turbo Router / VSR high-performance software routers
Europe	Independent	Utility/SCADA; Industrial	Industrial / IoT	Active	Substation communication and grid routers
Asia-Pacific	Independent	Consumer Wi-Fi; ODM	ODM / white-label	Active (niche)	Small Taiwanese Wi-Fi hardware maker
North America	Ericsson (1998)	Legacy access routers	Legacy / acquired	Defunct	Remote access router maker
North America	Digi International	Cellular	Cellular / 5G / mobile	Brand absorbed	Cellular router maker acquired by Digi 2018
Asia-Pacific	Independent	ODM; Whitebox	ODM / white-label	Active	Networking ODM; parent of Edgecore and Arcadyan
North America	Independent	ISP CPE; DSL/Fiber	ISP CPE / broadband gateway	Active	Major US ISP-gateway ODM (Verizon, CenturyLink, Frontier)
Asia-Pacific	Independent	Satellite	Specialised (military / satellite / mobility)	Active	Inmarsat and Iridium terminal-routers
North America	Independent (NASDAQ: ADTN)	SP access; BNG; Optical	Service provider	Active	Merged with Germany's ADVA in 2022
Europe	Adtran Holdings	Optical transport	Service provider	Brand absorbed	Now Adtran Networks SE
Asia-Pacific	Independent (TWSE: 2395)	Industrial; IoT; uCPE	Industrial / IoT	Active	Industrial LAN/cellular routers and edge gateways; owns B+B SmartWorx
Asia-Pacific	Independent	uCPE / network appliances	Data centre / disaggregated / silicon	Active	FWA appliance platforms used by SD-WAN vendors
Europe	Advantech	Industrial; Cellular	Industrial / IoT	Active	ICR-series routers, formerly the Czech Conel brand
North America	Independent	Consumer Wi-Fi	Consumer / retail	Active (niche)	Budget US Wi-Fi brand
Asia-Pacific	Bharti Airtel	ISP CPE	ISP CPE / broadband gateway	Brand-only	Airtel-branded routers OEM'd by Nokia, Huawei, ZTE
Middle East & Africa	Providence Equity Partners	Managed Wi-Fi; Mesh; ISP CPE	ISP CPE / broadband gateway	Active	Turkish-founded managed Wi-Fi vendor with global ISP deals
Asia-Pacific	AIS	ISP CPE	ISP CPE / broadband gateway	Brand-only	Thai ISP branded router
Europe	Nokia (via Alcatel-Lucent, 2016)	Legacy SP	Legacy / acquired	Brand retired	Merged with Lucent 2006; Nokia acquired 2016
Europe	TCL Communication	Travel; 4G/5G CPE	Cellular / 5G / mobile	Active	TCL-owned brand's hotspot and home LTE/5G router line
Europe	China Huaxin	Enterprise branch; Campus	Enterprise / SD-WAN	Active	OmniSwitch/OmniAccess; spun out of Nokia 2014
Asia-Pacific	Alibaba Group	Cloud DC in-house	Data centre / disaggregated / silicon	Active	Custom datacentre networking hardware and software
North America	Independent	Cloud NaaS / virtual router	Enterprise / SD-WAN	Active	Network-as-a-service cloud backbone
Asia-Pacific	Independent	Enterprise campus/branch	Enterprise / SD-WAN	Active	Global enterprise switch and router vendor
Middle East & Africa	Independent	DPI / traffic management	Enterprise / SD-WAN	Active	Adjacent to routing; policy and DPI appliances
Asia-Pacific	D-Link spinoff	ODM; ISP CPE	ODM / white-label	Active	Spun off from D-Link; supplies global telcos
North America	Amazon	Cloud DC / WAN in-house	Data centre / disaggregated / silicon	Active	Custom networking hardware and Transit Gateway
Asia-Pacific	Hon Hai / Foxconn	ODM; Cable CPE	ODM / white-label	Active	Cable modem and gateway ODM inside Foxconn
Asia-Pacific	Independent	Cellular; Industrial	Industrial / IoT	Active	Industrial 4G/5G cellular routers, also an ODM
North America	Independent	Consumer Wi-Fi; Range extenders	Consumer / retail	Active	US high-power Wi-Fi niche brand
North America	Ubiquiti	Mesh	Consumer / retail	Winding down	Ubiquiti's consumer mesh sub-brand, largely deprioritised
Asia-Pacific	Independent	Industrial	Industrial / IoT	Active	DIN-rail industrial Ethernet routers
Russia & CIS	Independent	Cellular	Cellular / 5G / mobile	Active (niche)	Russian LTE router and antenna brand
Asia-Pacific	Independent	Cellular	Cellular / 5G / mobile	Active	M2M cellular routers and modules
North America	Apple	Consumer Wi-Fi	Consumer / retail	Defunct	AirPort Express/Extreme/Time Capsule; Apple exited routers 2018
Asia-Pacific	Compal Group	ODM / ISP CPE	ODM / white-label	Active	Major ODM behind many ISP-branded gateways worldwide
Asia-Pacific	TP-Link	Consumer Wi-Fi	Consumer / retail	Active	Sub-brand: TP-Link's flagship standalone router line
Middle East & Africa	Türk Telekom	SP; SDN/NFV	Other	Active	Türk Telekom's networking R&D arm
North America	Independent (NYSE: ANET)	Data centre routing; SD-WAN; Campus	Data centre / disaggregated / silicon	Active	Acquired the VeloCloud SD-WAN business from Broadcom in 2025
North America	Independent	SP and DC disaggregated routing	Data centre / disaggregated / silicon	Active	ArcOS network operating system
North America	CommScope (2019)	Legacy ISP CPE; Cable	ISP CPE / broadband gateway	Brand retained	Still used as a product brand by CommScope
North America	CommScope	Retail cable modem-router	ISP CPE / broadband gateway	Active	Best-known US retail cable gateway brand
North America	HPE (2015)	Enterprise WLAN	Enterprise / SD-WAN	Brand retained	Now HPE Aruba Networking
North America	Independent	SD-WAN; SASE	Enterprise / SD-WAN	Active	Managed unified SASE/SD-WAN with private backbone
Middle East & Africa	Koç Holding	Consumer electronics	Consumer / retail	Brand-only	Turkish appliance giant with limited gateway ventures
North America	Lucent (1999)	Legacy access routers	Legacy / acquired	Defunct	MAX and TNT remote access concentrators
Asia-Pacific	Independent (Asus-linked)	ODM / ISP CPE	ODM / white-label	Active	Taiwanese ODM for ISP gateways and 5G FWA
Asia-Pacific	Independent (TWSE: 2357)	Consumer Wi-Fi; Gaming; Mesh	Consumer / retail	Active	Major Taiwanese PC maker with one of the widest router lineups
North America	Community (Eric Sauvageau)	Open-source firmware	Enterprise / SD-WAN	Active	Enhanced fork of Asus stock firmware
North America	AT&T	ISP CPE	ISP CPE / broadband gateway	Brand-only	AT&T fibre/DSL gateways from Arris and Humax
Asia-Pacific	Independent	Industrial	Industrial / IoT	Active	Industrial networking and gateway devices
North America	Extreme Networks (2017)	Legacy enterprise	Legacy / acquired	Acquired	Ex-Nortel ERS campus lines
North America	Independent	Cloud / virtual router	Enterprise / SD-WAN	Active	Multi-cloud transit and network software
North America	Dissolved	Legacy SP core	Legacy / acquired	Defunct	Early 2000s core router pioneer, became Soapstone
Europe	Independent	DSL/Fiber CPE; Consumer Wi-Fi; Mesh	ISP CPE / broadband gateway	Active	Germany's leading retail + ISP router brand; FRITZ!Box line
Asia-Pacific	Independent	Industrial; IoT	Industrial / IoT	Active	Embedded edge gateways and industrial routers
Asia-Pacific	Independent	Consumer; DSL/Fiber CPE	ISP CPE / broadband gateway	Active	Singaporean networking brand, strong regionally
North America	KKR	SD-WAN; SASE; SMB	Enterprise / SD-WAN	Active	SecureEdge and CloudGen WAN appliances
Middle East & Africa	Independent (LSE: BVC)	Carrier Ethernet	Service provider	Active	Parent of Telco Systems
North America	Nortel (1998)	Legacy enterprise	Legacy / acquired	Defunct	Formed 1994 from Wellfleet + SynOptics; absorbed by Nortel
Asia-Pacific	Independent	SP access; Aggregation	Service provider	Active	Access and aggregation networking equipment, OLTs
Asia-Pacific	Independent (ex-Bharti)	DSL/Fiber CPE	ISP CPE / broadband gateway	Active	Legacy Indian telecom device brand
North America	Independent (NYSE: BDC)	Industrial	Industrial / IoT	Active	Parent of Hirschmann and GarrettCom
North America	Foxconn Interconnect Technology	Consumer Wi-Fi; Accessories	Consumer / retail	Active (reduced)	Router line largely wound down; Linksys was divested to Fortinet
North America	Arista Networks	Whitebox NOS	Data centre / disaggregated / silicon	Brand retired	SDN/whitebox NOS absorbed into Arista 2020
Asia-Pacific	Independent	DSL/Fiber CPE; Industrial	ISP CPE / broadband gateway	Active (niche)	Taiwanese DSL/VDSL router brand
Europe	Binatone Global	Consumer; ISP CPE	ISP CPE / broadband gateway	Active	UK-origin brand with a strong Indian CPE presence
Europe	Teldat Group	Enterprise branch; SMB	Enterprise / SD-WAN	Active	German brand owned by Spain's Teldat
Europe	Bitdefender	Security router	Consumer / retail	Defunct	Smart-home security appliance; hardware line retired
Asia-Pacific	Independent	Cellular; Industrial	Industrial / IoT	Active	4G/5G IoT routers and gateways
Asia-Pacific	Independent	Consumer; Security	Consumer / retail	Active (niche)	Vietnamese tech firm with networking products
Asia-Pacific	Independent	Cellular; Industrial	Industrial / IoT	Active	4G IoT industrial routers
